cement,fly_ash,water,superplasticizer,fine_aggregate,coarse_aggregate,age,compressive_strength
310.5,103.5,172.5,1.6,540.5,804.1,90,43.52
424.4,98.1,233.5,17.0,609.3,886.8,14,53.15
372.7,105.9,165.4,12.3,711.0,1119.9,28,52.6
350.3,107.3,212.5,12.3,849.2,1079.0,7,41.13
200.8,86.9,184.9,8.3,771.6,1139.4,28,32.33
481.1,26.4,141.9,11.4,536.2,835.3,7,57.17
255.5,25.1,158.5,3.1,736.9,1007.3,3,26.91
352.3,190.4,198.4,14.8,588.7,890.0,7,44.23
394.9,96.4,200.7,1.5,793.6,990.0,56,47.4
377.2,190.6,172.2,14.6,831.0,912.2,14,59.91
479.2,32.7,147.4,17.0,737.4,899.2,3,53.45
202.0,110.9,206.6,9.4,736.5,1000.8,56,34.27
327.9,41.5,140.3,10.2,635.4,864.2,7,39.13
291.4,50.6,232.4,6.2,678.5,964.2,3,24.54
316.0,6.0,142.5,19.4,845.6,1027.8,7,46.47
191.7,23.8,132.9,14.7,789.3,844.9,28,31.44
196.9,183.4,179.7,7.4,707.9,1125.7,365,51.75
247.3,64.3,182.3,3.5,647.3,977.0,7,28.98
256.6,121.6,181.0,4.4,520.2,1086.8,14,39.74
299.8,93.0,172.4,9.3,557.2,1028.9,7,38.86
363.8,80.1,239.4,18.9,577.2,1048.5,14,50.39
372.1,106.4,178.4,14.7,649.4,1050.6,90,59.84
294.1,37.4,177.4,4.3,877.7,1106.3,14,38.76
293.1,197.7,170.6,17.2,702.1,1014.8,90,56.68
226.2,163.7,128.0,7.6,593.9,897.4,365,49.68
355.9,148.3,191.2,17.0,542.3,834.8,365,68.62
261.0,93.8,147.4,4.8,635.3,1012.2,56,39.06
162.6,30.6,196.5,12.4,826.3,823.2,90,28.28
296.4,184.1,126.1,18.5,653.3,884.5,365,62.29
315.9,68.3,237.8,5.2,809.0,821.2,180,48.61
229.0,10.0,176.3,13.9,821.1,992.1,14,29.72
350.4,68.5,227.6,19.7,544.3,856.1,7,44.38
348.0,158.9,177.1,3.0,743.5,1013.6,3,40.37
395.7,124.5,127.2,1.8,883.6,1076.8,365,58.94
376.8,150.2,218.7,13.5,660.9,1087.7,56,56.58
378.4,158.7,197.8,6.8,520.4,908.3,14,45.08
260.7,42.4,213.8,1.4,869.3,992.1,14,25.07
425.6,184.8,171.4,9.5,853.5,997.1,14,57.68
342.2,87.6,196.6,15.1,708.9,965.5,180,57.87
301.0,127.8,222.7,5.7,720.9,1029.3,56,46.85
369.1,0.5,195.7,6.7,584.7,873.5,365,55.13
276.2,198.7,161.7,16.9,827.8,1142.7,14,42.32
329.5,56.2,199.5,10.4,699.4,834.3,28,39.83
